"EpisodeNumber","ItemNumber","ScienceOrFiction","QuestionText"
688,1,"Fiction","A seeing eye dog named Daisy led 31 people to safety after the jet hit the first tower and before it collapsed. "
688,2,"Science","The fires at ground zero burned for 100 days before they were finally extinguished. "
688,3,"Science","Google’s top search topic for the week following 9/11 was “Nostradamus.”"
689,1,"Fiction","A new study finds that it is more emotionally rewarding to be flattering rather than honest when giving critical feedback. "
689,2,"Science","Japanese scientists report the strongest controlled magnetic field ever recorded at 1,200 Tesla. "
689,3,"Science","Researchers find that the Amazon river experiences severe flooding five time more often in the last two decades than in the early 20th century."
690,1,"Science","A new study finds that some pathogenic bacteria are able to hibernate in order to evade and survive a course of antibiotics. "
690,2,"Science","Researchers find that minimally invasive autopsy is diagnostically superior to traditional full autopsy. "
690,3,"Fiction","A new analysis concludes that Martian moon Phobos not only is a captured asteroid but likely originated in the Kuiper belt."
691,1,"Science","Astronomers have discovered a microquasar 15,000 light years from Earth spewing photons 25 trillion times more energetic than visible light. "
691,2,"Fiction","Researchers have developed a molecule that can convert photons into electrical current at 80% efficiency. "
691,3,"Science","Astronomers announce new observations support the discovery of the first exomoon 8000 light years from Earth."
692,1,"Science","Making aluminum from recycled scrap uses 92% less energy than making it from ore. "
692,2,"Science","There is evidence for welding with solder 3000 years ago. "
692,3,"Fiction","Iron, Cobalt and Nickel are the only ferromagnetic elements."
694,1,"Science","British spies in WWI used semen as invisible ink, giving rise to the phrase, 'Every man his own stylo.' "
694,2,"Fiction","Henry VIII instituted a hair tax based on social standing, and failure to pay resulted in public head shaving. "
694,3,"Science","The 1831 London Bridge was purchased by an American and moved to Arizona."
695,1,"Science","Cambridge University is associated with 90 Nobel Prizes, the highest in the UK but third world-wide. "
695,2,"Fiction","The Wooden Bridge was designed by Sir Isaac Newton and is the first to be based on mathematical principles. "
695,3,"Science","Lord Byron was allowed to keep a bear as a pet at Trinity College because there was no specific rule against it."
696,1,"Science","In 1928 the St. Francis Dam near Los Angeles experienced sudden catastrophic failure just 12 hours after its final inspection, resulting in over 400 deaths. "
696,2,"Fiction","In 1971 the 40 story Hyatt Regency Hotel in Kansas City experienced total failure and collapse during a magnitude 4.2 earthquake, because it was not designed to existing standards, resulting in over 600 deaths. "
696,3,"Science","In 1984 a safety valve in a chemical plant in Bhopal India released 40 tonnes of methyl isocyanate, a toxic gas, into the air, immediately killing 3000 nearby residents, and ultimately being blamed for 15-20,000 premature deaths and over 600,000 injuries."
697,1,"Science","In the 17th century, 40% of children failed to live to adulthood. "
697,2,"Science","Estimates of literacy in 18th century New England are from 90-100% for men, and 31-48% for women. "
697,3,"Fiction","Beds were shorter than the modern standard, reflecting the generally shorter stature that was typical of the time."
698,1,"Science","The world's first stored program computer was created in Manchester. "
698,2,"Science","A milestone in scientific history, the first splitting of an atom, happened in Manchester in 1917. "
698,3,"Fiction","The Liverpool-Manchester Railroad line was the first public locomotive in the world."
